,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
142772,921040,tt11053900,Cautious Hero: The Hero Is Overpowered but Overly Cautious,S01E03 This Hero Is Too Self-Serving,2019,23,7.8,108
98242,293955,tt0798475,Hamburg Transit,S03E07 Giftmأ¼ll,1973,24,6.6,6
76389,209118,tt0700905,Simon & Simon,S06E14 For Old Crime's Sake,1987,60,7.4,47
103016,316552,tt0834407,The Thin Man,S01E25 Double Jeopardy,1958,30,6.8,16
128852,564395,tt1027447,The Inspector Lynley Mysteries,S06E02 Know Thine Enemy,2007,90,7.9,261
108458,340587,tt0868736,Teletubbies,S01E68 Josie's Pots,1997,24,4.6,18
16435,35494,tt0524754,The Bill,S19E40 Charlie Foxtrot: Part 2,2003,50,7.6,37
139782,858482,tt1091920,Real Time with Bill Maher,S05E09 Episode #5.9,2007,60,6.0,11
85489,244303,tt0736608,Undeclared,S01E01 Prototype,2001,22,7.5,337
37868,96861,tt0587012,The Gentle Touch,S03E10 One of Those Days,1982,50,7.0,10
102738,315063,tt0832019,Full Metal Panic!,S02E12 Dakyأ´ muyأ´ no hosutأھji,2003,23,7.8,39
100586,303993,tt0813481,Alias,S05E16 Reprisal,2006,43,7.8,434
135260,735393,tt10653746,Drag SOS,S01E06 Preston,2019,47,9.5,12
42160,107734,tt0598171,Hawaii Five-O,S02E12 The Devil and Mr. Frog,1969,51,7.1,149
69330,189495,tt0681110,Quantum Leap,"S01E08 Camikazi Kid - June 6, 1961",1989,48,8.0,705
124185,452384,tt1002885,Grey's Anatomy,S04E05 Haunt You Every Day,2007,60,7.9,1207
7416,14871,tt0503466,77 Sunset Strip,S04E20 The Bridal Trail Caper,1962,60,8.1,39
109348,345045,tt0874707,Teletubbies,S01E216 Dad's Portrait,1998,24,3.7,16
1874,2912,tt0164095,Matlock,S06E08 The Suspect,1991,89,7.7,145
140985,883054,tt1097502,Round the Twist,S04E03 Linda Godiva,2001,23,7.6,20
52533,141148,tt0631997,The Life and Times of Juniper Lee,S01E11 Take My Life Please,2005,22,8.9,15
50329,133989,tt0624770,Laramie,S03E23 Day of the Savage,1962,60,8.0,67
44433,113092,tt0603583,Home Improvement,S08E01 Whitewater,1998,23,6.8,205
109159,343754,tt0873160,Mock the Week,S03E02 Episode #3.2,2006,29,7.6,26
34966,88165,tt0578216,Fastlane,S01E16 Slippery Slope,2003,44,8.2,52
135671,744737,tt10673950,Homicide Hunter,S09E10 Cradle to the Grave,2019,42,8.0,28
20728,46059,tt0535442,The Californians,S01E04 The Avenger,1957,30,7.4,16
41162,105441,tt0595855,Hangin' with Mr. Cooper,S03E19 Here Comes the Groom,1995,21,7.2,16
96983,288357,tt0790213,Newhart,"S07E02 Apples, Apples, Apples",1988,30,7.3,72
126266,505224,tt10143726,Trump Bites,S01E02 I do have a relationship with him,2018,2,6.6,9
10195,20063,tt0508835,Alice,S06E15 The Valentine's Day Massacre,1982,30,7.7,59
59971,159706,tt0650730,The Monroes,S01E21 Killer Cougar,1967,60,6.9,10
42654,108713,tt0599159,Hearts Afire,"S01E02 Bees Can Sting You, Watch Out: Part 2",1992,47,8.1,20
145503,980538,tt11182148,A Million Little Things,S02E08 Goodnight,2019,41,8.4,216
25540,63602,tt0553166,The Daily Show,S10E131 Louis Freeh,2005,30,7.0,27
49371,130537,tt0621185,Knots Landing,S13E01 The Gun Also Rises,1991,60,8.5,10
74269,203158,tt0694865,Saturday Night Live,S29E08 Elijah Wood/Jet,2003,90,6.2,90
70541,192330,tt0683962,The Rebel,S01E02 Judgment,1959,30,7.9,66
130079,594126,tt10340168,Seven Worlds One Planet,S01E04 Australia,2019,60,9.0,472
135283,735873,tt10655228,Naked and Afraid XL,S05E10 Goodbye Cruel Waterworld,2019,83,8.1,23
140377,869170,tt10944676,SEAL Team,S03E06 All Along the Watchtower: Part 2,2019,41,8.5,460
115543,384752,tt0926956,When They Cry,S01E17 Kejime,2006,30,7.5,116
129693,585515,tt1032125,Smallville,S07E07 Wrath,2007,42,7.8,1003
4083,6758,tt0331351,Live from Lincoln Center,S01E03 American Ballet Theatre: Swan Lake,1976,180,8.8,11
5954,10300,tt0437089,E! True Hollywood Story,S03E07 Beatle Wives,1999,120,7.5,16
10324,20302,tt0509075,All Creatures Great and Small,S06E07 The New World,1989,49,7.8,54
80199,219612,tt0711527,The Streets of San Francisco,S02E05 Going Home,1973,52,7.5,124
33042,84389,tt0574380,Exhibit A: Secrets of Forensic Science,S03E10 Stopwatch Gang,1999,23,8.6,5
123494,438865,tt0999502,Thomas & Friends,S03E21 Escape!,1992,5,8.6,112
122098,428362,tt0985722,Aria: The Animation,S01E10 Sono hoka hoka na kyأ»jitsu ha...,2005,24,7.7,13
58342,155236,tt0646213,British Men Behaving Badly,S03E05 Cleaning Lady,1994,29,7.6,100
89380,256243,tt0748852,Will & Grace,"S07E09 Saving Grace, Again: Part 2",2004,21,7.4,245
146582,999876,tt11225280,Nova,S46E21 Decoding da Vinci,2019,53,7.8,93
57460,153552,tt0644517,Maverick,S02E18 The Rivals,1959,60,8.4,123
10197,20065,tt0508837,Alice,S08E10 Tis the Season to Be Jealous,1983,24,8.0,61
97857,291908,tt0795593,Big Brother,S04E10 Episode #4.10,2003,43,8.7,50
24033,56626,tt0546127,Corner Gas,S02E06 Poor Brent,2004,22,8.1,140
84960,242195,tt0734475,12 O'Clock High,S01E27 The Mission,1965,60,8.7,47
5491,9240,tt0397982,Comedy Central Presents,S02E04 Greg Proops,1999,30,6.8,66
7959,15807,tt0504422,ALF,S04E15 Love on the Rocks,1990,22,7.0,225
118129,402913,tt0951641,EastEnders,S01E36 Episode #1.36,1985,29,6.3,18
90612,258867,tt0751509,Xena: Warrior Princess,S05E15 Married with Fishsticks,2000,44,5.5,505
93162,268876,tt0763387,Danger Mouse,S09E05 A Dune with a View,1992,22,6.6,20
85497,244334,tt0736639,Under the Hammer,S01E01 The Fatal Attribution,1994,51,6.3,8
140940,882101,tt1097298,Mad Men,S01E09 Shoot,2007,46,8.2,3081
145100,970888,tt11161256,Meta Runner,\N,2019,12,7.7,11
45068,117800,tt0608307,The Hunger,S01E15 Fly by Night,1998,25,5.5,72
73813,202537,tt0694242,Sapphire & Steel,S01E06 Assignment One: Part 6,1979,26,7.6,104
114302,377642,tt0917049,Grossology,S01E08 Go Fish,2006,22,8.0,11
57526,153733,tt0644699,Mayberry R.F.D.,S01E04 Help on the Farm,1968,26,7.0,33
112675,369004,tt0907038,"Scooby Doo, Where Are You!",S01E07 Never Ape an Ape Man,1969,21,7.4,564
112759,369573,tt0908004,The Bill,S22E84 Go for Gold,2006,50,6.1,12
1450,2271,tt0119825,The Wonderful World of Disney,S01E09 Oliver Twist,1997,91,6.2,1879
24908,62603,tt0552162,Da Vinci's City Hall,S01E09 Gotta Press the Flesh,2006,44,6.2,20
71665,195341,tt0686994,Rising Damp,S01E05 The Prowler,1975,23,7.9,84
130938,617854,tt1039244,Fruits Basket,S01E21 Sophist Boy Has Captured the Prince,2001,24,7.5,47
113078,371442,tt0909993,Dark Shadows,S01E847 Episode #1.847,1969,23,7.5,26
14685,31363,tt0520501,Beauty and the Beast,S01E09 Dark Spirit,1987,49,8.0,88
21285,47412,tt0536803,Caroline in the City,S03E17 Caroline and the Toothbrush,1998,21,6.6,44
110548,352322,tt0884685,That Mitchell and Webb Look,S01E06 Episode #1.6,2006,29,7.6,73
25504,63566,tt0553130,The Daily Show,S10E95 Maggie Gyllenhaal,2005,30,5.8,25
114241,376901,tt0916290,EastEnders,S01E1100 Episode #1.1100,1995,28,5.4,6
143136,930308,tt1107281,Sin City Law,"S01E05 Bourbon Strip, Part One",2007,56,6.1,9
34659,87598,tt0577642,Fantastic Four: The Animated Series,S02E01 And a Blind Man Shall Lead Them,1995,21,7.3,127
12734,26839,tt0515693,As Told by Ginger,S01E02 Carl and Maude,2000,24,7.4,57
38063,97307,tt0587468,Get Real,S01E13 Falling from Grace,2000,60,6.0,13
94604,275883,tt0772336,The Bill,"S08E77 On the Record, Off the Record",1992,25,8.0,14
36467,92650,tt0582753,Freddy's Nightmares,S01E02 It's a Miserable Life,1988,46,5.2,264
106207,329978,tt0854366,Praxis Bأ¼lowbogen,S01E05 Rhythmusstأ¶rungen,1987,48,8.5,9
109501,345791,tt0875833,Clarissa Explains It All,S02E08 The Understudy,1992,28,7.5,24
45754,119896,tt0610430,In Loving Memory,S04E03 Blood Will Out,1983,25,7.3,8
22961,52772,tt0542220,Clarissa Explains It All,S01E06 Haunted House,1991,28,6.9,38
1091,1779,tt0103053,Tatort,S01E249 Tod im Hأ¤cksler,1991,80,6.8,88
89528,256535,tt0749144,Windfall,S01E10 Crash Into You,2006,52,7.9,13
